"","Basal_1","Basal_2","Basal_3","Luminal_1","Luminal_2","Luminal_3"
"ENSG00000015479",44325.849,26089.046,34203.317,29696.186,22960.501,28030.885
"ENSG00000015520",39,69,123.001,14,44,109
"ENSG00000015532",1452.512,2053.881,1447.134,833.998,1095.084,1016.494
"ENSG00000015568",7810.639,8576.12,7062.466,9877.38,13191.555,11050.516
"ENSG00000015592",10,7,2,1,1,4
"ENSG00000015676",9639.579,7099.104,6872,7040.972,5141.025,5982
"ENSG00000016082",45,142.002,190,22,125.999,103
"ENSG00000016391",3226.659,1612.26,2488.856,3957.75,2885.956,3533.196
"ENSG00000016402",1501.091,1411.543,1101,1122,1702.164,1525
"ENSG00000016490",3,0,0,0,0,1
"ENSG00000016602",7243.596,6202.841,2095,913.48,8516.519,1251
"ENSG00000016864",2133.546,1699.325,1569.852,1973.445,2133.606,1356.482
"ENSG00000017260",11400.562,9849.604,8173.592,15649.249,13949.932,13257
"ENSG00000017427",22.29,59.177,18.631,32.547,71.52,25.457
"ENSG00000017483",2215.556,1167.393,559,175,275.173,87.999
"ENSG00000017797",9290.514,9140.478,6522.253,13344.649,15345.236,12059.44
"ENSG00000018189",3591.311,2546.787,2829,4610.029,3137.821,3893.003
"ENSG00000018236",69.09,30.503,60.996,14.997,18.455,33.621
"ENSG00000018280",99.19,226.629,99.316,120.112,255.557,107.958
"ENSG00000018408",6182.685,5745.844,9508.143,6039.294,8128.581,11733.243
"ENSG00000018510",3463.076,1930.231,2635.475,1729.912,914.01,1357.375
"ENSG00000018607",0,0,0,0,0,0
"ENSG00000018610",175.62,126.032,120.078,113.988,163.916,166.79
"ENSG00000018625",9.885,12.853,8.515,13.744,24.014,15.519
"ENSG00000018699",5666.316,3262.498,4260.592,1967.453,1216.344,2203.656
"ENSG00000018869",347.05,184.004,221.001,291.02,218,277
"ENSG00000019102",545,844.209,312,2584.583,3984.199,2518
"ENSG00000019144",2091.997,1564.658,2121.823,498.761,584.727,991.457
"ENSG00000019169",13,17,0,52,7,22
"ENSG00000019186",22329.738,12295.564,5148,64310.353,22098.515,48554.018
"ENSG00000019485",1741.525,921.735,1983.269,483.618,701.019,871.408
"ENSG00000019505",31.545,19.38,17.75,73.389,65.234,186.652
"ENSG00000019549",3864.665,2229.806,4189.623,400.743,442.933,1403.693
"ENSG00000019582",14180.637,13784.843,5311.561,52925.83,32170.868,25914.532
"ENSG00000019991",14,1,12.001,8,4,5
"ENSG00000019995",10398.55,9905.043,8944.939,9040.074,10255.876,10324.024
"ENSG00000020129",2668.649,1447.122,2092.001,1515.238,732.016,1386.001
"ENSG00000020181",32,19.007,19.006,17,9,13
"ENSG00000020219",1,0,7,0,1,2.999
"ENSG00000020256",762.884,758.667,846.12,893.029,491.814,660.028
"ENSG00000020426",3603.3,2648.183,2896,2585.646,2136.892,2354.001
"ENSG00000020577",11211.412,10876.142,14636.104,4321.907,5149.771,7166.707
"ENSG00000020633",46,84.001,20,21,44.003,31
"ENSG00000020922",2536.023,2144.54,1384.423,2611.05,2036.219,1977.198
"ENSG00000021300",21,19,14,114,130.001,85
"ENSG00000021355",21704.702,23696.368,23734.357,23841.666,20537.659,31808.989
